id,address,categories,city,country,latitude,longitude,name,postalCode,twitter,websites,no_twitter,no_website,no_menu,state,address_location
AVwej-w3IN2L1WUf6HK8,1290 S Broadway,brewery,Denver,US,,,Former Future Brewing Company,80210,formerfutureco,http://embracegoodtaste.com,False,False,True,CO,"1290 S Broadway, Denver, CO, 80210, US"
AVwdQuH3ByjofQCxnPfO,1660 Champa St,"breweries , wineries",Denver,US,39.747169,-104.99305700000001,D'vine Wine Denver,80202,,http://www.dvinewineusa.com,True,False,True,CO,"1660 Champa St, Denver, CO, 80202, US"
AVwc2E2VIN2L1WUfphDU,1555 Blake St,"music venue,bar , music venue,bar,pubs,bars , pubs,sports bars,breweries",Denver,US,39.750288,-104.99976799999999,World of Beer,80202,mapquest,"http://worldofbeer.com/Locations/Lodo,http://mapquest.com",False,False,True,CO,"1555 Blake St, Denver, CO, 80202, US"
AVwdhk0DIN2L1WUfwqtr,7260 W Alaska Dr,"music venue,bars , pubs,pubs,breweries,bar",Denver,US,39.709068,-105.077258,World of Beer,80226,,http://worldofbeer.com/Locations/Belmar,True,False,True,CO,"7260 W Alaska Dr, Denver, CO, 80226, US"
AVwcizXVkufWRAb5wVk8,1257 W 120th Ave,"american restaurant,brewery,fast food restaurants,bars,american restaurants,brew pubs,restaurants,s,wich shops,hamburgers , hot dogs,steak houses,bar , grills,family style restaurants,delicatessens,seafood restaurants,taverns",Denver,US,39.91492837,-105.0008433,C.b. & Potts,80234,,http://cbpotts.com,True,False,True,CO,"1257 W 120th Ave, Denver, CO, 80234, US"
AVwdQdHXIN2L1WUft5XE,W Jeppesen Terminal 5,"airport lounge,brewery,bar",Denver,US,39.84875971,-104.6737427,Boulder Beer Tap House,80249,,http://boulderbeer.com,True,False,True,CO,"W Jeppesen Terminal 5, Denver, CO, 80249, US"
AV3c1vwHRxPSIh2ReNwR,1735 19th St,brewers,Denver,US,,,Chophouse,80202,,,True,True,True,CO,"1735 19th St, Denver, CO, 80202, US"
AV1TrojULD2H7whiaK47,1875 S. Pearl St,"restaurant,pubs,brewery",Denver,US,39.682567999999996,-104.98078000000001,Denver pearl brewing,,,,True,True,True,CO,
AVweKWNq_7pvs4fzAlSQ,1309 26th St,"brewers,restaurants",Denver,US,39.758587,-104.98543000000001,First Draft,80205,,http://www.firstdraftdenver.com,True,False,True,CO,"1309 26th St, Denver, CO, 80205, US"
AVzA9Pl5-gnIPe8DSe2T,6733 W Colfax Ave,"brewers,brewery",Denver,US,,,Westfax Brewing Co,80214,,,True,True,True,CO,"6733 W Colfax Ave, Denver, CO, 80214, US"
AV2gdeO6RxPSIh2RdWgA,1001 16th St A100,brewers,Denver,US,,,Walnut Brewery Inc,80265,,,True,True,True,CO,"1001 16th St A100, Denver, CO, 80265, US"
AV5Xwy92IxWefVJwoOhF,1338 S Valentia St 100,brewers,Denver,US,39.6925,-104.8905,Copper Kettle Brewing Co,80247,,,True,True,True,CO,"1338 S Valentia St 100, Denver, CO, 80247, US"
AV3c1vxlIxWefVJwjyA4,902 S Lipan St,brewers,Denver,US,39.6995,-105.0012,Chain Reaction Brewing Co,80223,,,True,True,True,CO,"902 S Lipan St, Denver, CO, 80223, US"
AV1eRow0a4HuVbed6skR,2650 W 2nd Ave 10,"brewers,wineries",Denver,US,39.7203,-105.0194,Colorado Cider Co,80219,,,True,True,True,CO,"2650 W 2nd Ave 10, Denver, CO, 80219, US"
AVwedkCeByjofQCxybH_,1455 E 62nd Ave,"brewers,wineries,wholesale foods,wholesale beer,denver,venues,breweries,bar,beer , ale distributors",Denver,US,39.8093,-104.9707,Anheuser-Busch Co,80216,,http://www.buddenver.com,True,False,True,CO,"1455 E 62nd Ave, Denver, CO, 80216, US"
AV2gdeHWa4HuVbed-NY8,2401 Blake St,brewers,Denver,US,39.7584,-104.9894,Spruce Tap House,80205,,,True,True,True,CO,"2401 Blake St, Denver, CO, 80205, US"
AV1c8ygba4HuVbed5-tc,2401 Blake St 1,brewers,Denver,US,39.7585,-104.9891,River North Brewery,80205,,,True,True,True,CO,"2401 Blake St 1, Denver, CO, 80205, US"
